Inclusion,votes_total,votes_gallery_(Calc),votes_local_network,createdate,ipaddress,EIN,Photo,URL_in_Story_(Calc),matched_zip,Story_Text,give_reason,give_method
TRUE,33,4,29,42327.69705,68.185.144.44,20-5734304,TRUE,TRUE,98228,"My Giving Story for 25:40 \n(www.2540.org)\n\nFor many years I went through life not truly seeing the world and its problems.  I knew there were people living in poverty; however it was easy to put those thoughts out of my head with the distractions of my daily routine.  A couple of years ago, God removed the blinders from my eyes, and allowed me to see how truly blessed my family and many other families here in America are compared to other parts of the world.  In the process, I was astonished to discover that about 1.5 billion people in our world live on less than $1.25 per day.  How does someone even live on $1.25 per day, when many of us here in America are willing to pay more than $1.25 for a cup of coffee?    \n\nAfter God began revealing this to my husband and me, we felt called to do something to help.  I just could not sit back anymore and pretend I didn’t know that others were living in such dire circumstances, and I truly wanted to do something to give back.  My husband and I were led to an organization called 25:40 which helps orphans and underprivileged children in South Africa.  We were drawn to this organization, first and foremost because of the organization’s name 25:40, drawn from Matthew 25:40 “Truly I tell you, whatever you did for one of the least of these brothers and sisters of mine, you did for me.”   After hearing stories about many of the children they serve and how they were partnering with the community to help fix the problems with sustainable solutions, I felt compelled to join efforts with them and do something to help raise money for the least of these through this wonderful organization.      \n\nBeing a dancer for 18 years, I have much passion and love for dancing.  God opened up a door to dance ministry a couple of years ago and through some prayer I decided to do a dance workshop over one summer to help benefit 25:40.  It was such a blessing for me to be involved with dance again and at the same time such an amazing opportunity for me to use my time, talents, and passions to help these children in South Africa who so desperately needed our help.    \n\nDuring the workshop I was also able to talk about some of the children that 25:40 serves.  How some of these children lived in small huts with no floors or had to walk every day long distances to collect water for their family.  The children would ask me if I was making these stories up since it was so hard for them to even imagine life as these children in South Africa know it.  It was very heartwarming to see some of the children come to the workshop, emptying their own piggy banks to give back after hearing the stories of the children 25:40 serves.  In addition to the money we were able to raise for 25:40 during the workshop, I know the workshop make a great impact on those children’s hearts and also mine as well.    \n\nI feel very blessed to have had the opportunity to give back and help children in South Africa through 25:40.  I learned through this giving experience that God is calling us all to do something, and in the process to be the hands and feet of Jesus.  We can have such an amazing impact on this world if we are mindful of what is going on within it and make the commitment that we will do what we can to help.  I believe that when we give of our time, talents, and treasures we can also be a part of something much bigger than ourselves!  And as we join forces with God to do something to help others, I think we will be amazed to see that not only will other’s lives be helped and impacted because of it, but our own life will be changed as well as our hearts are transformed to be more like His.  I know mine has and it is a beautiful thing!             \n",3,2
TRUE,1029,72,957,42314.31965,107.147.195.64,35-2334274,TRUE,TRUE,48306,"Be the change that you want to see in the world.\n\nThere are a lot of things in this world that are out of our control, a great number of things that we cannot change, but there are so many things that we CAN change. Those things that can make a difference, not only in my life, but in the lives of people around me, are what I choose to focus on and that is what inspires me to give. \n\nA few years ago, after dealing with the sudden death of my father, struggling with my mother battling cancer, and coping with the overwhelming depression brought on by infertility, I found myself in a foreign country doing a VBS missions trip with children. I caught myself standing in a room full of impoverished people, looking around the room as they raised their hands to God and they not only prayed for their struggles, but THANKED Him for the little that they had. \n\nWhile there I also met a man who had a crippling disease and he told me of his pain and suffering. He went on to share with me the abandonment he had as a teenager, the torment of having his best friend murdered and die in his arms, and the struggles of poverty and starvation. He also shared with me his faith. He told me of a time when he was at rock bottom.  He had no food, no money, no home, and no one to turn to, but it was a sacrifice he was willing to suffer for because he was trying to make a difference in the lives of others. He was given the opportunity to leave, to escape this torment and leave it all behind.  He had a choice to make and he chose to give his life to those in need rather than run because he had faith that God would provide. It was at this moment in his story that I realized my life meant nothing if all I was doing was living for myself and I vowed to change the things that I could and leave the rest to God.\n\nI knew that I wanted to make a difference in this world and I knew that the change needed to start with myself. I changed the way I ate and I changed the way I lived. In fact, I changed so much that I lost 100lbs in less than a year and completed a triathlon. Not only did I change my appearance but I changed my outlook on life. I started small by helping the man that I met, sending him money when I thought he would need it. After all, this man changed my life and I wanted to change his.  \n\nOur friendship led me to Honduras where he was living and helping in an elementary school. I met and fell in love with each and every 104 students that were in that school. They showed me a love that I had never experienced before. They looked at me as a mother, a friend, even an angel of hope with tears in their eyes and smiles on their faces. How do you walk away from that? You can't! To look around at the community and see fathers to had abandoned their families, parents who had been murdered, children who were beaten and abused, living in homes made of mud, sheets, and broken pieces of wood; walking away was not an option. We wanted to do whatever was possible for these kids, but with no money it seemed incredibly difficult. Difficult, but not impossible. We looked for the things we were able to change, and we started teaching them. \n\nWe started with English lessons in the elementary school, teaching them a skill that they could use to get a job with no further education, but it wasn't enough. The government in Honduras only provides schooling through 6th grade, after that the families have to pay for school. In this community they are too poor to advance past 6th grade. So after a few months we came to the decision to start a school for these kids, grades 7, 8, and 9.  We had nothing to start with, nothing but the desire and the Faith that God would provide.\n\nGod provided! We found an organization to help us, one that believes in making a difference in the world, no matter how small. The efforts of this organization not only help our school in Honduras but they help schools in other countries like Burundi and Uganda, they help in the Philippines, in Haiti and are now making efforts to join the war against human trafficking in the United States.  Supporting the organization, 3rd World People, is near and dear to my heart because, like me, and like my partner, they believe in doing whatever you can to make the changes that are possible and leave the rest to God.\n\nWe are now nearing the end of our second school year and we have plans to start a bakery for the school. They will not only be able to learn lessons that will help them in their futures, but we will be able to generate an income for the school to pay for our teachers and supplies. We are excited for the future of our school and we couldn't be more proud of our students. They are bright, caring, and funny and they are a constant reminder to us that although we can't do everything, we can do something, and we can change the world! \n\nFind us on Facebook (Teach Honduras, Pinares High School)\n\nWww.3rdwp.org\n",1,2
TRUE,20,2,18,42313.87498,172.91.100.67,95-4448606,TRUE,TRUE,90291,"'Never doubt that a small group of thoughtful, committed citizens can change the world. Indeed it is the only thing that ever has'. That quote by Margaret Mead inspires me...to give, to make a difference.\n\nThis is #MyGivingStory....a Story about 'Sport n Art 4 a Cause'\n\nEarly morning. a well-made Espresso. then a PCH ride on my motorcycle. After a few miles of feeling the ocean breeze - a cool little question popped up - 'What makes me happy?'...That just meant, time for a stop at the Marmalade Cafe...Along with an egg-white-frittata (highly recommend it!) breakfast, came a little answer. \n\nI have always been passionate about Sport & Art. Realms that have always brought joy to me - high tide or low tide. But then a question came up 'What's passion without purpose?'\n\nBy the time i got my Shadow to kick up again to top gear, i came up with a fundraiser idea - for this awesome non-profit (A Window Between Worlds http://www.awbw.org) that uses Art as a Healing Tool for survivors of trauma ’n abuse, thereby making a positive difference in their lives. \n\nAn idea..that would be fun..that would bring in art for the sports fan..with a purpose.\n\n.and when Passion meets Purpose, Life happens!\n\nCheck out this short film about my journey of 'Sport n Art 4 a Cause’...a football-themed facepainting fundraiser towards AWBW's cause.\n\nhttps://vimeo.com/106140055\n\nIt’s truly a #OurGivingStory with so many amazing people involved in making this happen. Special Thanks to L.A Cheeseheads and So.Cal Seahawks. They are such a fun, philanthropic football fan community out here in So.Cal\n\nI'm grateful to share this experience with all of you for #GivingTuesday. Wishing u the very best in your journeys!",2,2
TRUE,7,2,5,42328.45418,209.120.230.18,23-2003056,TRUE,TRUE,19034,"Why I support Access Services...\n\nSome people look at children with disabilities and the first thing they might notice is a wheelchair.  Maybe they will notice the loud sounds some of them make at inappropriate times or the braces on their legs.  Since some children are non-verbal, people might not realize their intelligence, sense of humor or desire to engage with those around them.  But at Access Services, they see other things.  They see the different ways people are smart.  There are no tests that can capture it.  They see young people, who because of their autism, have a superior ability to focus on details and sustain attention when immersed in activities they love.  They see students with cerebral palsy, and although every movement they make requires exceptional effort, they push through to claim their independence and complete daily activities that many of us take for granted.  \n\nSometimes the challenges children face are more difficult to outwardly observe.  Our communities are able to document and measure truancy and delinquency statistics, but the underlying causes, including mental health issues, addiction and abuse are often invisible and more difficult to quantify.  It is certainly easy to become overwhelmed!\n\nAt Access Services, they meet these challenges with innovative programming, exceptionally committed staff and evidence based, strategic intervention to transform the lives of the children and teens who they serve.  Where others see hopelessness, they see potential and possibility.  It is common for others to view children with disabilities as “broken,” needing to be “fixed.”  But at Access Services, they passionately believe that all children are “whole.” They deserve the best opportunities to develop, thrive and engage productively within their families and communities.  I support Access Services because they share my commitment to making this world a better place for individuals of all abilities.  They back their philosophy will concrete action, affecting thousands of lives a year, with a focus on creating a meaningful difference one person at a time.  I hope you will join me in supporting Access Services.  Learn more about them at www.accessservices.org\n\n",2,6
TRUE,15,1,14,42329.37946,207.172.181.159,23-2003056,TRUE,TRUE,19034,"What inspires me to give to Access Services  (www.accessservices.org)? \n \nIt’s simple….LOVE!  I love to see all the smiling faces working on a project at day program after I spent countless hours of prep time at home getting an arts and crafts or a sewing project ready to be worked on.  Then to see the excitement radiating from everyone when a project is completed because they are so proud of themselves for what they just did. \n \nThe endless hours of donated time and money don’t stop there; I am always going to yard sales and thrift shops to find that wonderful “bargain” for day program because there is never enough money for everything we need.  I scour the retail stores for end of season, 90% off sales for items that can be used for next year’s craft projects or remade into something else. \n \nI also donate my time by soliciting friends, neighbors and relatives for arts and crafts items, etc. after they become empty nesters as well as much needed items for some clients such as clothing and even food.  I have collected and donated a car load of boxes of food for a client’s family that was going through hard times which brought tears of joy from my client and his brother.  \n\nSo again.…I give to Access Services because it’s all about LOVE!\n",2,4
TRUE,29,3,26,42322.30296,108.183.0.248,04-3447959,TRUE,TRUE,19119,"The Adult Congenital Heart Association—Helping Adults with Congenital Heart Disease Thrive, Not Just Survive\n     “She’ll never live.” These were the first words a new mother heard from the attending nurse when her child was born.  The baby was blue, weighed less than four pounds, and had some type of serious heart “problem.”  That child was me.\n     As a child, I never really understood exactly what condition I had or its  severity.  My pediatrician only noted that I had a heart murmur.  In hindsight, I can appreciate that in the late 1950s, medical science and diagnostic tools weren't where they are today, making an accurate and complete diagnosis difficult. I only knew that I got tired easily during gym class, couldn’t run as fast as everyone else, and had trouble keeping off weight.  \n     Not knowing the severity of my condition and any limitations it posed, I was determined from an early age to attend the Naval Academy.  My dad was a U.S. Naval Academy graduate and was killed serving his country when I was six months old.  It was my long-standing goal to honor his memory by attending the Academy and becoming a career officer.  Finally, it seemed that my wish would become reality--I was thrilled when I was in the first group of women selected to attend the Academy, pending medical clearance.  \n     It was when I had to undergo the pre-admission comprehensive medical exam that my complete congenital heart issues were made clear. I had Ebstein’s Anomaly, a rare congenital defect. I was denied admittance to the Academy because my heart posed too much of a risk. I was devastated.\n     This was the first time I had experienced any major limitations or discrimination based on my heart disease. I was angry, and vowed I would do my best to stay as fit and healthy as possible.  \n     I always felt somewhat alone with my disease, having a condition that many doctors didn't even know about.  I would go for checkups and more often than not interns would come in to listen to my heart.  Then, one day while at work, I was discussing weekend plans with a colleague.  I mentioned that I was going to Boston for my annual cardiologist visit.  She inquired why I was traveling so far (I worked in New Jersey at the time) and I informed her that I had a rather rare condition called Ebstein's Anomaly.  She broke down in tears, and I couldn't understand why.  Through her tears, my colleague told me that her baby daughter was just diagnosed with the same condition.  She had been told that most children born with Ebstein's do not make it to adulthood.  She said knowing that I have this condition gave her hope.  Seeing her pain turn to joy planted in me the desire to one day work with women and children with heart disease.\n     Somehow, somewhere, I found the Adult Congenital Heart Association’s website, www.achaheart.org. In reading through its mission, I immediately felt a connection and knew that I wanted to volunteer with this wonderful organization.  \n     The mission of the Adult Congenital Heart Association  (ACHA) is to improve and extend the lives of the millions born with heart defects through education, advocacy and the promotion of research.  The ACHA website, print materials, media outreach, educational events and advocacy events allow ACHA to reach out to adults with CHD and advocate for the ACHD community. ACHA offers information directly to patients and families, and provides materials and services through health-professional members.  ACHA was founded in 1998 by a group of adult congenital heart defect survivors and their families as a national 501(c)(3) not-for-profit organization.   \n     ACHA is dedicated to promoting excellence in ACHD care.  Thanks to medical improvements, the number of adults living with congenital heart disease is now greater than the number of children.  It is critical for these adults to receive life-long care with a cardiologist specializing in adult congenital heart disease.  Advocating for the availability of such care is a main goal of ACHA.\n     It has been an honor and privilege to volunteer with this wonderful organization.  Through the ACHA Heart-to-Heart Ambassador program, I am able to provide one-on-one peer support and encouragement to those living with congenital heart disease.  The Ambassador program not only provides one-time matches but 3 month matches, enabling Ambassadors to help those with longer term concerns, such as preparing for surgery.\n     One of my most memorable experiences with ACHA was volunteering at the Congenital Heart Walk in Boston, Massachusetts.  In spite of the nasty rainy weather, hundreds came out to walk a mile in support of or in memory of those with CHD.  Along with raising funds for congenital heart research, these walks provide a communal opportunity for congenital heart “families” to support and encourage each other.\n     The ACHA has been there for me as well.  I had my first open heart surgery—at age 57--6 months ago.  The support, encouragement, and advice from fellow ACHAers was a true blessing.  With ACHA, I no longer feel alone.  With ACHA, I intend to provide support for other adults living with congenital heart disease for a long time, helping them thrive, not just survive.\n",1,2
TRUE,2,0,2,42318.62576,104.36.139.25,01-0360745,TRUE,FALSE,4212,"Giving is the greatest act of grace. \n\nGiving back has always been important to me...at least so I thought. In my mind, I was doing 'the best I could' by volunteering on select weekends at our local animal shelter, by purchasing a toy each year at Christmas for a child in need, or by donating unwanted clothing to our city's women's shelter. It wasn't until I moved to Georgia and started working at Advocates for Children in 2013 that I learned the value and the true meaning of giving.\n\nAdvocates is a non-profit organization providing many programs and services geared toward the prevention and treatment of child abuse and neglect. Now, I am no stranger to studying the many socioeconomic problems that communities face. I was, in fact, a Sociology major. Contrary to my own beliefs, I was quite sheltered in seeing the reality of the hardships that many families, especially the children, endure in the face of poverty. I saw, and heard those stories first hand when I began interacting with the children at Flowering Branch Children's Shelter, one of Advocates' eight programs. \n\nI had worked at Advocates for less than two months when one of our youngest residents made his way up to my office to barter a handmade drawing for one of the lollipops in my candy jar. He was a new resident who had not yet settled in, and was quite down since we were nearing the holidays and he was separated from his little sister. In our few short minutes of conversation, it occurred to me how mature this sweet, soft spoken young boy was. \n\nAt only 11 years old, he was forced to care for himself, foraging for food and finding shelter wherever possible. He shared stories of his life and experiences as if they were normal children's activities. As if sleeping in the rain, eating food from dumpsters, and traveling busy highways in the dark of night were comparable to building a puzzle, playing tag, or watching a movie. Not once did he talk about his life as if it was lacking, in fact, he was proud. He eagerly showed off his light up shoes, riddled with holes, plagued by a dying battery. He was beaming with joy when we told him that he would get Christmas gifts in just a few short weeks, not because he was excited to beef up his toy collection, but because he couldn't wait to give them away to his little sister. In his mind, she needed them more.\n\nIn that moment, I knew that I had to do more. I had to give in any way that I could. I had to be an advocate for children. \n\nBecause of Advocates, and that sweet little boy, I learned the value in giving my time and my talents to bring awareness to child abuse and neglect. I now take pride in meeting new people and sharing with them all of the ways that they can make a positive difference in their community. I continue on each day, hoping that one day I can inspire good actions in others. \n\nMany people equate giving with writing huge checks to charities. Financial contributions are absolutely essential when it comes to allowing organizations to continue their great work, but giving time by way of volunteering is equally as important. Advocates was the reality check that I needed to understand what my purpose in life was, and it was the catalyst that kick-started my passion for giving. I hope that my giving story will inspire YOU to love, to serve, and to give. ",2,2
TRUE,54,27,27,42332.55374,158.72.15.38,36-3412054,TRUE,FALSE,60606,"“Life’s most persistent and urgent question is, What are you doing for others?”  Dr. Martin Luther King, Jr.\n\nMy working class family inspired me to always stride to aid others in the community.  Regardless of feeding the homeless, cleaning the church, or tutoring children, providing service to others is a familial expectation. As a struggling graduate student, I also benefitted from countless scholarships, community programs & activities.  When I completed my graduate degree in 2008, I pledged my life to public health service through compassionate actions and stewardship of time, resources, and talents.  When I relocated back home to Chicago in late April, 2015,  I discovered many organizations struggling financially due to city and state cuts.  As such, I gave philanthropic gifts to AIDS Foundation of Chicago, Chicago Gay Men’s Chorus, and National Association of Black & White Men Together totaling over $15,000 this year alone. Also, several years ago, I  founded the B. Chambers Scholarship Fund and awarded nearly $8000 to LGBT students and organizations. During such hardships, either you are a part of the problem or part of the solution and personal action speaks louder than words.  Thanks be to God for the opportunity to give to others.\n---------------\nSincerely,\nPreston Shumaker\n",2,4
TRUE,66,22,44,42311.64838,166.176.184.229,92-0034754,TRUE,FALSE,99501,"Alaska Legal Services and Civil Legal Aid: When Time Means More Than Money\n\nThere’s an old cliché that time is money, and nowhere is that saying more apt than in the American legal system, where access to justice so often depends on a person’s financial resources.\n\nThat’s why I support Alaska Legal Services by donating my time as a volunteer attorney.\n \nAlaska Legal Services is a fantastic civil legal aid organization that gave me my first introduction to Alaska's legal community more than a decade ago. The lawyers who work there have relinquished higher-paying jobs and dedicated their careers to ensuring that the civil justice system is accessible to all Alaskans, regardless of their income.\n \nAlaska Legal Services advocates tirelessly for its clients to ensure that they don’t lose custody of their children, get evicted from their homes, or become the victims of predatory lending practices simply because they’re poor. There are innumerable problems that correlate directly with poverty, but because of Alaska Legal Services, substandard access to justice isn’t always one of them.\n \nI don’t work for Alaska Legal Services, but I’ve occasionally taken their cases as a form of volunteer support. Putting my time, energy, and expertise as a lawyer into a court case is more meaningful than writing a check, because it creates memorable relationships with clients and achieves visible, concrete, and direct results.\n \nThrough Alaska Legal Services, I’ve helped a same-sex couple dissolve their partnership; a teenager retrieve a large sum of money she was owed from her estranged father; and numerous couples secure fair divisions of property and custody of their children in divorce and custody cases.\n\nI feel a moral obligation to do this work, because in my view, good representation in the legal system is like good healthcare in the health care system: It shouldn't be for sale. Or at least, it should be available to everyone on equal footing. After all, justice in America is a public right—not a private commodity. \n \nWhen I volunteer for Alaska Legal Services, my time is worth more than money: It’s worth greater equity and access to a core branch of our democracy. \n \nAnd you can’t put a price tag on that. ",2,2
TRUE,6,1,5,42330.62484,50.172.38.189,45-1952543,TRUE,TRUE,60051,"Albums of Hope at www.albumsofhope.com is the charity that I support day in and day out. It's my passion, it keeps me going during difficult days, knowing that through Albums of Hope I'm able to lift the spirits of others who are battling cancer. After nearly 2 1/2 years, my husband lost his battle to cancer at the age of 45. I know that through Albums of Hope his spirit lives on, and I am so very thankful for that. In just 4 years, Albums of Hope has donated over 4000 pocket-sized albums to cancer patients and we're growing in leaps and bounds. Our albums are filled with beautiful photos and inspiring quotes. They work their magic 24/7 for whenever someone needs a lift. Albums of Hope inspires volunteers to share their time and love throughout the year, creating albums to share with those fighting their serious illnesses.  Through Make a Difference day events, Relay for Life events, St. Baldrick's events and many treatment center partnerships, volunteers know their efforts to support such a charity are making a difference immediately for cancer patients!",1,2
